0008421830329;031568053005250505
0008421830374;031568053005250505
0008421830381;031568053005250505
0008421830398;031568053005250505
0008421830466;031568053005250505
0008421830503;031568053005250505
0008421830510;031568053005250505
0008421830633;031568053005250505
0008421830688;031568053005250505
0008421830695;031568053005250505
0008421830848;031568053005250505
0008421830855;031568053005250505
0008421830862;031568053005250505
0008421830879;031568053005250505
0008421830886;031568053005250505
0008421830893;031568053005250505
0008421830909;031568053005250505
0008421830916;031568053005250505
0008421830923;031568053005250505
0008421830930;031568053005250505
0008421901913;031568053005250505
0008421992591;031568053005050505
0008421992652;031568053005050505
0008521086039;031568050510350505
0008811110314;031064054545454545
0008983645522;031568053540150505
0009371962993;030555050508150505
0009371963006;030555050508150505
0009371963013;030555050508150505
0009371963020;030555050508150505
0009371963037;030555050508150505
0009371963587;030555300510101505
0010942120247;030556051510050505
0010942122968;030556051510050505
0010942218760;030556051010100505
0011120182460;032576250520052005
0011120185942;032576250520052005
0011120232721;032576250520052005
0011120238679;032576250515050505
0011120260670;032576250520052005
0011120268133;032576250520052005
0011120269215;032576250520052005
0011120270242;032576250515050505
0011120271263;032576250520051005
0011120271270;032576250520052005
0011120271638;032576250515101010
0011120272123;032576250515050505
0011120272307;032576250515050505
0011120272536;032576250515050505
0011120275872;032576250515050505
0011120277296;032576250515101010
0011120279238;032576250515050505
0011120285840;032576250515101010
0011179126071;030560104005050505
0011179272761;030560104005050505
0011200009717;010503401020100505
0011210002500;010507109898989898
0011210006096;010503052505258305
0011210007055;010503409898989898
0011210007970;010507109898989898
0011210697003;010503401020100505
0011381005645;030555050515220505
0011381051765;030555050508151505
0011543804604;031568051505051505
0011543804659;031568050510350505
0011543805120;031568051505053005
0012086312014;011011101015202005
0012086313912;051530303030303030
0012086322211;051530303030303030
0012086331015;051530303030303030
0012086511318;051530303030303030
0012086512117;051530303030303030
0012086515217;051530303030303030
0012086526916;051530303030303030
0012086555015;011011101005207505
0012742011763;012015402005050505
0012742011947;012015402005050505
0012742012609;012015402005050505
0012742012784;012015402005050505
0012742012920;012015402005050505
0012742022028;012015402005050505
0012742022134;012015402005050505
0012742022141;012015402005050505
0012742022394;012015402005050505
0012742022509;012015402005050505
0012742022639;012015402005050505
0012742022646;012015402005050505
0012742022806;012015402005050505
0012742023865;012015402005050505
0012742700346;012015402005050505
0012742701596;012015402005050505
0014100077121;010502100505400505
0014100077138;010502100505400505
0014100085393;010507109898989898
0014100085508;010507109898989898
0014113230315;023036050501010102
0014113230322;023036100101010201
0014113910569;023036100301010202
0014113911672;023036100301010201
0014113911719;023036100301010201
0014113915090;010502050520350515
0014113915113;010502050520350515
0016000197268;010503052505258305
0016000275034;010501201005051005
0017854015654;012015202505050505
0017854100459;012015251510050505
0017854100466;012015251510050505
0017854100473;012015251510050505
0018208948727;032577050505100505
0019582390584;010503450505109005
0020176890519;021023150535050505
0020335002234;032075200570050505
0020335002241;032075200570050505
0020356620943;032577200555101010
0020356621094;032577200555101010
0020356621100;032577200555101010
0021664068809;031568051505050505
0021664259825;031568053005100505
0021664261187;031568053005100505
0021664353837;031568053555555555
0021664354094;031568053555555555
0021664361825;031568053555555555
0021664361979;031568053540150505
0021664363935;031568053555555555
0021664365427;031568053555555555
0021664365939;031568053555555555
0021664365946;031568053555555555
0021664365984;031568053555555555
0021664367445;031568053555555555
0021664367872;031568053555555555
0021664376119;031568053555555555
0021664376348;031568053555555555
0021664376423;031568053555555555
0021664376430;031568053555555555
0021664376447;031568053555555555
0021664376454;031568053555555555
0021664376508;031568053555555555
0021664376614;031568053555555555
0021664376621;031568053555555555
0021664376638;031568053555555555
0021664380826;031568053555555555
0021664560938;031568051505050505
0021664707432;031568051560059292
0021664707449;031568051560059292
0021664707456;031568051560059292
0021664707487;031568051560059292
0021664707524;031568051560059292
0021664710388;031568051560050205
0021664710555;031568051560050205
0021664710562;031568051560050205
0021664710579;031568051560050205
0021664710586;031568051560050205
0021664710593;031568051560050205
0021664712177;031568051505150505
0021664712184;031568051505150505
0021664712191;031568051505150505
0021664712207;031568051505150505
0021664712214;031568051560050205
0021664712238;031568051560050205
0021664712245;031568051560050205
0021664712252;031568051560050205
0021664712269;031568051560050205
0021664712276;031568051560050205
0021664712405;031568051505150505
0021664712412;031568051505150505
0021664712429;031568051505150505
0021664712436;031568051505150505
0021664712443;031568051560050205
0021664712580;031568051560050205
0021664820339;031568051505050505
0021664820353;031568051505050505
0021664820612;031568051505050505
0021664821497;031568051505050505
0021664821503;031568051505050505
0021664822401;031568051505050505
0021664822418;031568051505050505
0021664822425;031568051505050505
0021664822432;031568051505050505
0021664822449;031568051505050505
